tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
262265,SpotifyCares,False,Thu Oct 05 22:13:26 +0000 2017,@178472 2: the first six and the last four digits of that payment card? We'll track it down for you /RR https://t.co/ldFdZRiNAt,,262266.0
262266,178472,True,Thu Oct 05 20:51:26 +0000 2017,@SpotifyCares Someone at our company used the company credit card to sign up for a subscription that we want to cancel.  Please advise ASAP,"262265,262267",
262268,SpotifyCares,False,Thu Oct 05 22:04:22 +0000 2017,@178473 Hi. Can you try reinstalling the app using the steps here: https://t.co/EqisDMwZAT? Keep us posted /LM,262269,262270.0
262269,178473,True,Thu Oct 05 22:06:52 +0000 2017,@SpotifyCares Already did!,262271,262268.0
262271,SpotifyCares,False,Thu Oct 05 22:08:51 +0000 2017,@178473 Can you send us a screenshot of how your app looks? We'll see what else we can suggest /LM,262272,262269.0
262272,178473,True,Thu Oct 05 22:09:37 +0000 2017,@SpotifyCares  https://t.co/1Cmu2SBwPU,262273,262271.0
262273,SpotifyCares,False,Thu Oct 05 22:11:11 +0000 2017,@178473 Can you try using a different internet connection and see if it makes a difference? /LM,,262272.0
262270,178473,True,Thu Oct 05 20:43:39 +0000 2017,"@SpotifyCares my iOS app isn't even letting me select the option to login, help?",262268,
262274,SpotifyCares,False,Thu Oct 05 22:04:08 +0000 2017,"@164069 Hey Terence, help's here! We just replied to your DM. Let's carry on chatting there 🙂 /RR",,262275.0
262275,164069,True,Thu Oct 05 20:42:10 +0000 2017,@SpotifyCares I have no reception at all. Please help!!! Love the app💋😃,262274,
262276,SpotifyCares,False,Thu Oct 05 22:03:41 +0000 2017,@178474 Hi there. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,,262277.0
262277,178474,True,Thu Oct 05 20:43:18 +0000 2017,"Hey @115888, what's up with me having to update my payment info every month? It's getting annoying.",262276,
262278,SpotifyCares,False,Thu Oct 05 22:02:52 +0000 2017,"@178475 Hey Erin! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /NG",262279,262280.0
262279,178475,True,Thu Oct 05 22:04:37 +0000 2017,"@SpotifyCares Wow Spotify really does care, nothing but respect for my streaming service https://t.co/03hRkCRRZP",262281,262278.0
262281,SpotifyCares,False,Thu Oct 05 22:12:59 +0000 2017,"@178475 Thanks for the sweet comment! If anything comes up, you know where to find us. Have a... https://t.co/OdbkcWnbGH 💚 /NG",,262279.0
262280,178475,True,Thu Oct 05 21:51:20 +0000 2017,When will Harry’s cover of The Chain be put on Spotify I’m tired of waiting,262278,
262282,SpotifyCares,False,Thu Oct 05 22:01:16 +0000 2017,"@178476 Hey Tom! We’d love to have everything available, but we have some info about content here: https://t.co/0i8GpimuDa /NG",,262283.0
262283,178476,True,Thu Oct 05 21:39:45 +0000 2017,daily tweet saying how annoyed i am that Pabllo Vittar's music is not on spotify UK. sort it out @13399 @SpotifyCares @116130,262282,
262649,SpotifyCares,False,Thu Oct 05 22:23:54 +0000 2017,@178566 Hi there! Can you let us know where you got this info? We'll take a look backstage /LM,262650,262651.0
262650,178566,True,Thu Oct 05 22:33:06 +0000 2017,@SpotifyCares Thanks. Still works for me thankfully. Is a great feature. Please don't remove it!,262652,262649.0
262652,178566,True,Thu Oct 05 22:33:53 +0000 2017,"@SpotifyCares Oh and it was here...
https://t.co/pbi8OwV7q2",262653,262650.0
262653,SpotifyCares,False,Thu Oct 05 22:38:50 +0000 2017,"@178566 Thanks! We can confirm that this isn't true. Syncing local files won't be removed on the next update. Any other questions, just shout /LM",,262652.0
262651,178566,True,Thu Oct 05 20:56:18 +0000 2017,Is this true @SpotifyCares https://t.co/eYOxB68EGn,262649,
262654,SpotifyCares,False,Thu Oct 05 22:23:24 +0000 2017,@178567 Hey Mary! Can you DM us your username or email address? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,,262655.0
262655,178567,True,Thu Oct 05 21:21:38 +0000 2017,@115888 I like the Spotify and @115940 plan. I just wish I could add on a premium network 😩 you should make it so we can add it on our acct,262654,
262656,SpotifyCares,False,Thu Oct 05 22:22:31 +0000 2017,@178568 Hey Håkon! We've just sent you a bit more info over DM. We'll carry on helping out there /CO,,262657.0
262657,178568,True,Thu Oct 05 21:04:30 +0000 2017,I need some help with my spotify acount. I lost all my playlists. How can I get them back? @SpotifyCares,262656,
262658,SpotifyCares,False,Thu Oct 05 22:20:03 +0000 2017,@178569 Hey Jonathan! Can you let us know the exact Spotify version you're running? We'll see what we can suggest /NG,262659,262660.0
262659,178569,True,Tue Oct 24 15:42:15 +0000 2017,"@SpotifyCares I’m running Spotify 8.4.22.515 and iOS 11.0.3
Spotify songs don’t show on my lock screen while playing anymore.",262661,262658.0
262661,SpotifyCares,False,Tue Oct 24 16:40:22 +0000 2017,"@178569 Hey Jonathan, help's here! Could you DM us your account's username and email address? We'll take a look backstage for you /BX https://t.co/ldFdZRiNAt",,262659.0
262660,178569,True,Thu Oct 05 21:13:29 +0000 2017,@AppleSupport is there a fix/iOS update coming for the issues with controlling @SpotifyCares or showing songs on lock screen?,262658,
262662,SpotifyCares,False,Thu Oct 05 22:20:02 +0000 2017,"@178570 Hi Nadira, sorry for the delay! We just replied to your DM. Let's carry on chatting there 🙂 /RR",,262663.0
262663,178570,True,Thu Oct 05 21:15:40 +0000 2017,"@SpotifyCares help, I can’t add my sister in to my family plan, error 3 appears",262662,
262664,SpotifyCares,False,Thu Oct 05 22:15:21 +0000 2017,"@178571 Hey Pernille! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /JP",262665,262666.0
262665,178571,True,Fri Oct 06 09:17:04 +0000 2017,@SpotifyCares Windows10 - latest desktop version. :) &lt;3,262667,262664.0
262667,SpotifyCares,False,Fri Oct 06 10:44:30 +0000 2017,@178571 Thanks. Can you tell us more about what's happening? Does the same thing happen on other devices? /AY,,262665.0
262666,178571,True,Thu Oct 05 20:59:36 +0000 2017,@SpotifyCares the new search is horrible - huge step backward,"262664,262668",
262669,SpotifyCares,False,Thu Oct 05 22:15:19 +0000 2017,"@178572 Hey Timothy! That doesn't sound good. Does logging out, restarting your Mac, then logging back in help at all? /QI",,262670.0
262670,178572,True,Thu Oct 05 21:00:22 +0000 2017,@115888 Any reason Spotify on Mac is running.. so... slowly?  Any fix besides reinstall (which isn't actually a fix)?  Thanks.,262669,
262671,SpotifyCares,False,Thu Oct 05 22:13:41 +0000 2017,"@178573 2: Can you also let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /JE",,262672.0
262672,178573,True,Thu Oct 05 20:53:57 +0000 2017,@115888 your mobile apps are so full of bugs!!! Dislike 1 song won't let you like or dislike anyother song for the next 200 songs.,"262671,262673",
311959,SpotifyCares,False,Sat Oct 07 03:37:00 +0000 2017,"@178573 Thanks. Can you try logging out of Spotify, restarting your device, and logging back in to see if that helps? /NY",,311960.0
311960,178573,True,Sat Oct 07 03:03:30 +0000 2017,"@SpotifyCares Yes, I've done the steps. OS: Silent OS, Device: Black Phone 2",311959,262673.0
262673,SpotifyCares,False,Thu Oct 05 22:13:19 +0000 2017,"@178573 1: Hey Adam, that doesn't sound right. Just to be sure, have you checked this: https://t.co/0rSgxqRAv0?",311960,262672.0
393671,SpotifyCares,False,Mon Oct 09 17:24:24 +0000 2017,"@209250 Hey, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",,393672.0
